date,value
2000-01-01,43.77
2000-04-01,42.72
2000-07-01,41.51
2000-10-01,39.53
2001-01-01,35.53
2001-04-01,27.6
2001-07-01,28.18
2001-10-01,23.01
2002-01-01,25.87
2002-04-01,24.32
2002-07-01,20.31
2002-10-01,17.51
2003-01-01,20.08
2003-04-01,19.34
2003-07-01,22.81
2003-10-01,24.08
2004-01-01,26.75
2004-04-01,25.68
2004-07-01,24.84
2004-10-01,24.58
2005-01-01,25.81
2005-04-01,24.88
2005-07-01,26.35
2005-10-01,25.59
2006-01-01,26.5
2006-04-01,26.71
2006-07-01,25.1
2006-10-01,26.96
2007-01-01,27.28
2007-04-01,27.22
2007-07-01,27.61
2007-10-01,27.27
2008-01-01,24.02
2008-04-01,23.36
2008-07-01,21.09
2008-10-01,16.38
2009-01-01,15.17
2009-03-01,13.32
2009-07-01,16.32
2009-10-01,19.68
2010-01-01,20.53
2010-04-01,21.84
2010-07-01,19.32
2010-10-01,21.28
2011-01-01,22.84
2011-04-01,23.28
2011-07-01,22.87
2011-10-01,18.8
2012-01-01,20.61
2012-04-01,22.39
2012-07-01,20.89
2012-10-01,21.58
2013-01-01,22.25
2013-04-01,23.1
2013-07-01,24.16
2013-10-01,24.58
2014-01-01,24.86
2014-04-01,25.19
2014-07-01,26.17
2014-10-01,25.5
2015-01-01,25.86
2015-04-01,26.98
2015-07-01,26.83
2015-10-01,25.07
2016-01-01,24.21
2016-04-01,25.88
2016-07-01,26.76
2016-10-01,26.5
2017-01-01,28.06
2017-04-01,29.11
2017-07-01,30
2017-10-01,31.22
2018-01-01,33.31
2018-04-01,31.06
2018-07-01,31.98
2018-10-01,31.2
2019-01-01,28.38
2019-04-01,30.29
2019-07-01,30.22
2019-10-01,29.47
2020-01-01,30.99
2020-03-01,24.82
2020-07-01,29.81
2020-10-01,31.25
2021-01-01,34.52
2021-04-01,36.85
2021-07-01,37.77
2021-10-01,38.58
2022-01-01,36.76
2022-04-01,34.33
2022-07-01,29.07
2022-10-01,27.08
2023-01-01,28.32
2023-04-01,29.56
2023-07-01,31.42
2023-10-01,29.28
2024-01-01,33.1
2024-04-01,34.8
2024-07-01,35.9
2024-10-01,36.7
2025-01-01,37.1
2025-04-01,36.5
2025-07-01,38.2
2025-10-01,38.9
2026-01-01,38.4
2026-04-01,38.8
2026-07-01,39.2
2026-09-01,39.5
